Date,Portfolio Progression,DJIA
2022-01-03,36585.05859375,36585.05859375
2022-01-04,36615.80710260788,36799.6484375
2022-01-05,36177.23514102685,36407.109375
2022-01-06,36025.28557267997,36236.46875
2022-01-07,35813.88466339436,36231.66015625
2022-01-10,35877.675127286406,36068.87109375
2022-01-11,36036.78664260072,36252.01953125
2022-01-12,36192.13157459989,36290.3203125
2022-01-13,35725.93859694443,36113.62109375
2022-01-14,35908.642075245,35911.80859375
2022-01-18,35536.87979011013,35368.46875
2022-01-19,35283.75165845915,35028.6484375
2022-01-20,34937.0207753082,34715.390625
2022-01-21,34582.04845400292,34265.37109375
2022-01-24,34669.47993692095,34364.5
2022-01-25,34564.94142236663,34297.73046875
2022-01-26,34700.29732149184,34168.08984375
2022-01-27,34763.20247533263,34160.78125
2022-01-28,35430.880373073094,34725.46875
2022-01-31,35715.53070881428,35131.859375
2022-02-01,35794.263609525784,35405.23828125
2022-02-02,36279.73549337219,35629.328125
2022-02-03,35959.432101538245,35111.16015625
2022-02-04,35926.77529160091,35089.73828125
2022-02-07,35996.363855320946,35091.12890625
2022-02-08,36186.34953716116,35462.78125
2022-02-09,36295.0955757954,35768.05859375
2022-02-10,35891.515223935414,35241.58984375
2022-02-11,35405.50137534968,34738.05859375
2022-02-14,35498.29757886503,34566.171875
2022-02-15,35816.99348717275,34988.83984375
2022-02-16,35863.94742039616,34934.26953125
2022-02-17,35608.62379026715,34312.03125
2022-02-18,35501.2901381855,34079.1796875
2022-02-22,35106.269677785,33596.609375
2022-02-23,34727.13677552049,33131.76171875
2022-02-24,34908.57728975803,33223.828125
2022-02-25,35820.65460822158,34058.75
2022-02-28,35838.874829185974,33892.6015625
2022-03-01,35868.75721362422,33294.94921875
2022-03-02,36429.301511174985,33891.3515625
2022-03-03,36369.629077553705,33794.66015625
2022-03-04,36263.952528630594,33614.80078125
2022-03-07,35597.568686478575,32817.37890625
2022-03-08,35280.990923563775,32632.640625
2022-03-09,35783.84099753882,33286.25
2022-03-10,35603.69606528637,33174.0703125
2022-03-11,35270.99556173788,32944.19140625
2022-03-14,35144.716180627285,32945.23828125
2022-03-15,35694.3952581315,33544.33984375
2022-03-16,36063.9526985443,34063.1015625
2022-03-17,36483.510219764554,34480.76171875
2022-03-18,36838.26872812509,34754.9296875
2022-03-21,36912.28539198106,34552.98828125
2022-03-22,37232.116234898254,34807.4609375
2022-03-23,36952.237602918205,34358.5
2022-03-24,37356.76039902984,34707.94140625
2022-03-25,37552.532462668445,34861.23828125
2022-03-28,37779.52654688572,34955.890625
2022-03-29,38001.57639755547,35294.19140625
2022-03-30,37965.19795081329,35228.80859375
2022-03-31,37494.35803470975,34678.3515625
2022-04-01,37776.855587595805,34818.26953125
2022-04-04,37923.68416566426,34921.87890625
2022-04-05,37635.20764668988,34641.1796875
2022-04-06,37603.3014716541,34496.51171875
2022-04-07,37966.43642208102,34583.5703125
2022-04-08,38049.94417327904,34721.12109375
2022-04-11,37276.547410203995,34308.078125
2022-04-12,37369.60476844295,34220.359375
2022-04-13,37460.65188578992,34564.58984375
2022-04-14,37266.3015079819,34451.23046875
2022-04-18,37132.288790933926,34411.69140625
2022-04-19,37324.58280718842,34911.19921875
2022-04-20,37466.17697196656,35160.7890625
2022-04-21,37142.064962202305,34792.76171875
2022-04-22,36330.363204995025,33811.3984375
2022-04-25,36599.33904408816,34049.4609375
2022-04-26,35865.92037024407,33240.1796875
2022-04-27,36060.05848498702,33301.9296875
2022-04-28,36709.24838482636,33916.390625
2022-04-29,35403.80463284455,32977.2109375
2022-05-02,35598.64127365606,33061.5
2022-05-03,35675.108015466605,33128.7890625
2022-05-04,36852.30248928319,34061.05859375
2022-05-05,35990.78454683905,32997.96875
2022-05-06,36090.99807522122,32899.37109375
2022-05-09,35222.62919499583,32245.69921875
2022-05-10,35290.69946371947,32160.740234375
2022-05-11,34960.50182796629,31834.109375
2022-05-12,35046.34778398668,31730.30078125
2022-05-13,35754.285567260886,32196.66015625
2022-05-16,35865.36445658775,32223.419921875
2022-05-17,36125.320371757094,32654.58984375
2022-05-18,34485.23442228547,31490.0703125
2022-05-19,34148.605232098664,31253.130859375
2022-05-20,34256.30726239713,31261.900390625
2022-05-23,34826.60624424818,31880.240234375
2022-05-24,34863.62784408542,31928.619140625
2022-05-25,35187.54806798261,32120.279296875
2022-05-26,35524.505292548885,32637.189453125
2022-05-27,36061.743509462554,33212.9609375
2022-05-31,35609.76882257747,32990.12109375
2022-06-01,35466.75095242858,32813.23046875
2022-06-02,35925.89174277655,33248.28125
2022-06-03,35552.34162448167,32899.69921875
2022-06-06,35532.2939544937,32915.78125
2022-06-07,35901.75100497363,33180.140625
2022-06-08,35788.96015614129,32910.8984375
2022-06-09,35145.33566283291,32272.7890625
2022-06-10,34413.74385093676,31392.7890625
2022-06-13,33486.818755728455,30516.740234375
2022-06-14,33168.34894198767,30364.830078125
2022-06-15,33443.92139769879,30668.529296875
2022-06-16,32660.06816011439,29927.0703125
2022-06-17,32547.040531938637,29888.779296875
2022-06-21,33486.83366744948,30530.25
2022-06-22,33496.45997005082,30483.130859375
2022-06-23,33753.4891253364,30677.359375
2022-06-24,34592.53677149449,31500.6796875
2022-06-27,34598.727648402506,31438.259765625
2022-06-28,34104.13998292331,30946.990234375
2022-06-29,34245.39110766886,31029.310546875
2022-06-30,34008.74946871241,30775.4296875
2022-07-01,34514.65954525639,31097.259765625
2022-07-05,34464.15403929687,30967.8203125
2022-07-06,34443.33253317842,31037.6796875
2022-07-07,34681.83001213595,31384.55078125
2022-07-08,34764.470934423574,31338.150390625
2022-07-11,34469.07981518655,31173.83984375
2022-07-12,34142.62708791622,30981.330078125
2022-07-13,34010.2750199636,30772.7890625
2022-07-14,33979.23067195384,30630.169921875
2022-07-15,34372.28255034911,31288.259765625
2022-07-18,34000.903602118124,31072.609375
2022-07-19,34678.481285771784,31827.05078125
2022-07-20,34600.32238064603,31874.83984375
2022-07-21,34730.89535112403,32036.900390625
2022-07-22,34560.50700529691,31899.2890625
2022-07-25,34762.19568759185,31990.0390625
2022-07-26,34633.033178058366,31761.5390625
2022-07-27,35257.142197179615,32197.58984375
2022-07-28,35599.481003155335,32529.630859375
2022-07-29,36047.18001822127,32845.12890625
2022-08-01,35829.4091269942,32798.3984375
2022-08-02,35525.509778953194,32396.169921875
2022-08-03,35898.41084991368,32812.5
2022-08-04,35641.88284586958,32726.8203125
2022-08-05,35544.557940938204,32803.46875
2022-08-08,35546.59497596197,32832.5390625
2022-08-09,35530.226086257804,32774.41015625
2022-08-10,36025.174756283894,33309.51171875
2022-08-11,36058.9110339251,33336.671875
2022-08-12,36454.631992968265,33761.05078125
2022-08-15,36568.82970984227,33912.44140625
2022-08-16,36744.927319212926,34152.01171875
2022-08-17,36643.61152110938,33980.3203125
2022-08-18,36770.335882065105,33999.0390625
2022-08-19,36493.04399924648,33706.73828125
2022-08-22,35862.42123510329,33063.609375
2022-08-23,35921.35409432791,32909.58984375
2022-08-24,35964.83042634468,32969.23046875
2022-08-25,36307.4704960511,33291.78125
2022-08-26,35303.990832517884,32283.400390625
2022-08-29,35133.70008214362,32098.990234375
2022-08-30,34752.50682621129,31790.869140625
2022-08-31,34469.67337213232,31510.4296875
2022-09-01,34710.423084556845,31656.419921875
2022-09-02,34335.82360379644,31318.439453125
2022-09-06,34315.739300289104,31145.30078125
2022-09-07,34805.671362083915,31581.279296875
2022-09-08,34893.25717544376,31774.51953125
2022-09-09,35282.615972392865,32151.7109375
2022-09-12,35572.71134067767,32381.33984375
2022-09-13,34248.59769128129,31104.970703125
2022-09-14,34632.67337114576,31135.08984375
2022-09-15,34299.34523678189,30961.8203125
2022-09-16,34208.48518521391,30822.419921875
2022-09-19,34388.35999222712,31019.6796875
2022-09-20,34208.810824324806,30706.23046875
2022-09-21,33789.568140023846,30183.779296875
2022-09-22,33756.98560689532,30076.6796875
2022-09-23,33175.992925014034,29590.41015625
2022-09-26,32819.44832123736,29260.810546875
2022-09-27,32613.351875106335,29134.990234375
2022-09-28,33257.83789016141,29683.740234375
2022-09-29,32738.1232467856,29225.609375
2022-09-30,32010.009176994234,28725.509765625
2022-10-03,32810.16233463769,29490.890625
2022-10-04,33538.717486091984,30316.3203125
2022-10-05,33547.13913298194,30273.869140625
2022-10-06,33246.68382890451,29926.939453125
2022-10-07,32592.781872188127,29296.7890625
2022-10-10,32372.064213539794,29202.880859375
2022-10-11,32397.652891195503,29239.189453125
2022-10-12,32455.903498088046,29210.849609375
2022-10-13,33313.04627113512,30038.720703125
2022-10-14,32619.380813072352,29634.830078125
2022-10-17,33234.05418827412,30185.8203125
2022-10-18,33504.55071763223,30523.80078125
2022-10-19,33376.39875312356,30423.810546875
2022-10-20,33131.71685508995,30333.58984375
2022-10-21,33870.26680477754,31082.560546875
2022-10-24,34386.46937386567,31499.619140625
2022-10-25,34895.580233714856,31836.740234375
2022-10-26,34674.58160066962,31839.109375
2022-10-27,34564.524997880195,32033.279296875
2022-10-28,35109.75249222324,32861.80078125
2022-10-31,34772.949433717615,32732.94921875
2022-11-01,34628.003607197155,32653.19921875
2022-11-02,33834.996146267666,32147.759765625
2022-11-03,33588.754364799985,32001.25
2022-11-04,34077.74654199289,32403.220703125
2022-11-07,34428.266740027415,32827.0
2022-11-08,34525.688089743424,33160.828125
2022-11-09,33843.39762123894,32513.939453125
2022-11-10,35342.3949250166,33715.37109375
2022-11-11,35825.38500534133,33747.859375
2022-11-14,35599.32178824426,33536.69921875
2022-11-15,35845.773367059366,33592.921875
2022-11-16,35658.90839140832,33553.828125
2022-11-17,35699.066102299264,33546.3203125
2022-11-18,35863.91062249562,33745.69140625
2022-11-21,35965.03846246521,33700.28125
2022-11-22,36461.558851370086,34098.1015625
2022-11-23,36549.52231874172,34194.05859375
2022-11-25,36518.06311960821,34347.03125
2022-11-28,36038.86514864705,33849.4609375
2022-11-29,35954.49031022535,33852.53125
2022-11-30,37055.512519367796,34589.76953125
2022-12-01,37129.95112622114,34395.01171875
2022-12-02,37288.04568564474,34429.87890625
2022-12-05,36763.23989891556,33947.1015625
2022-12-06,36353.76695153405,33596.33984375
2022-12-07,36369.71612912825,33597.921875
2022-12-08,36587.98833597797,33781.48046875
2022-12-09,36064.65289190765,33476.4609375
2022-12-12,36547.188035584564,34005.0390625
2022-12-13,36784.36142416437,34108.640625
2022-12-14,36692.05716654461,33966.3515625
2022-12-15,36018.3134390055,33202.21875
2022-12-16,35585.48159766315,32920.4609375
2022-12-19,35483.357349449936,32757.5390625
2022-12-20,35489.820065858046,32849.73828125
2022-12-21,35949.896419931276,33376.48046875
2022-12-22,35570.35106181158,33027.48828125
2022-12-23,35876.53044722146,33203.9296875
2022-12-27,35899.252528504054,33241.55859375
2022-12-28,35505.10394586438,32875.7109375
2022-12-29,35918.48259000251,33220.80078125
2022-12-30,35797.60857860591,33147.25
